subject,predicate,object,weight
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168752,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168754,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168755,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168756,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168758,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168759,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168760,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168761,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168762,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168763,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168764,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168765,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168766,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168767,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168768,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168769,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168770,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168771,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168772,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168773,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168774,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168777,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168779,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168782,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168783,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168784,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168786,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168788,
file:_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md,contains,chunk_168789,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168791,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168792,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168793,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168794,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168795,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168796,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168797,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168800,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168804,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168805,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168808,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168810,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168811,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168812,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168813,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168814,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168815,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168816,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168817,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168818,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168819,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168820,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168821,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168822,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168823,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168824,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168825,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168826,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168827,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168828,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168829,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168831,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168832,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168833,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168834,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168835,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168836,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168837,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168839,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168840,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168841,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168842,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168843,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168844,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168845,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168847,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168848,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168851,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168852,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168853,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168855,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168856,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168857,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168858,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168861,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168862,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168864,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168865,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168867,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168868,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168869,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168870,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168874,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168875,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168876,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168878,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168880,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168881,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168882,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168883,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168884,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168885,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168886,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168888,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168889,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168890,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168891,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168892,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168893,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168895,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168897,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168898,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168899,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168900,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168901,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168902,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168903,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168904,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168905,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168906,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168907,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168909,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168910,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168914,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168915,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168916,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168917,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168919,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168924,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168929,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168930,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168931,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168932,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168933,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168934,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168935,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168936,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168937,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168938,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168939,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168940,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168941,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168942,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168943,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168944,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168945,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168946,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168947,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168948,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168949,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168950,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168952,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168953,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168954,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168955,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168956,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168957,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168958,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168959,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168960,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168961,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168962,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168963,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168964,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168965,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168966,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168967,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168968,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168969,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168970,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168971,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168972,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168973,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168974,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168975,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_168978,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168980,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168981,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168982,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168983,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168984,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168985,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168986,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168988,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168989,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168990,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168992,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168994,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168996,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168997,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_168998,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169000,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169002,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169003,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169004,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169005,
