subject,predicate,object,weight
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169006,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169007,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169008,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169010,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169011,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169013,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169014,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169015,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169016,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169017,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169018,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169020,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169021,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169023,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169024,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169025,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169026,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169027,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169028,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169029,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169030,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169031,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169032,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169033,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169034,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169035,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169037,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169038,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169040,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169042,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169043,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169044,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169045,
