subject,predicate,object,weight
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_169443,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_169444,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_169445,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_169446,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_169447,
file:_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,contains,chunk_169450,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169471,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169472,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169473,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169474,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169475,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169476,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169477,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169479,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169480,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169481,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169483,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169485,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169487,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169488,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169489,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169491,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169493,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169494,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169495,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169496,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169497,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169498,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169499,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169501,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169502,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169505,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169506,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169507,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169508,
file:_local/pbp_transcripts/PbP13 - The Town Square Incident.md,contains,chunk_169509,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168647,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168648,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168650,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168651,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168652,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168653,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168654,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168655,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168656,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168657,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168658,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168659,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168660,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168661,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168662,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168664,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168665,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168667,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168669,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168670,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168671,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168672,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168673,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168674,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168676,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168677,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168678,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168679,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168680,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168681,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168682,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168683,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168684,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168685,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168686,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168687,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168688,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168689,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168690,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168691,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168693,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168694,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168695,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168696,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168697,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168698,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168699,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168700,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168701,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168703,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_168704,
