player_entity_id,canonical,chunk_ids,chunk_count,file_relpaths,file_count
player_charis,Charis,168648|168650|168654|168655|168656|168658|168660|168662|168664|168665|168667|168669|168671|168673|168676|168677|168678|168682|168684|168686|168687|168688|168692|168694|168696|168698|168700|168702|168704|168706|168708|168710|168713|168715|168717|168719|168723|168725|168727|168729|168731|168733|168735|168737|168739|168741|168744|168746|168748|168750|168751|168754|168756|168759|168764|168767|168769|168839|168840|168843|168847|168849|168851|168853|168855|168857|168859|168861|168868|168869|168871|168874|168876|168878|168880|168882|168884|168885|168887|168889|168891|168893|168895|168897|168899|168902|168904|168914|168915|168917|168929|168932|168934|168936|168938|168940|168942|168949|168952|168954|168956|168958|168959|168961|168963|168965|168967|168969|168971|168973|168980|168983|168985|168987|168989|168991|168993|168998|169000|169002|169004|169006|169008|169011|169013|169014|169020|169021|169024|169026|169028|169029|169031|169033|169035|169037|169039|169041|169043|169045|169047|169049|169051|169053|169055|169057|169059|169061|169063|169065|169067|169069|169071|169073|169075|169077|169079|169099|169101|169102|169104|169107|169108|169111|169113|169115|169117|169119|169123|169128|169131|169134|169136|169139|169145|169151|169154|169160|169163|169166|169169|169170|169172|169174|169176|169178|169184|169185|169187|169189|169193|169195|169197|169199|169201|169202|169204|169206|169208|169210|169212|169214|169216|169217|169219|169220|169221|169224|169226|169228|169229|169230|169232|169234|169236|169240|169242|169244|169247|169249|169251|169255|169258|169260|169263|169265|169267|169272|169274,229,_local/pbp_transcripts/PbP10 - The Second Camp.md|_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md|_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md|_local/pbp_transcripts/PbP13 - The Town Square Incident.md|_local/pbp_transcripts/PbP14 - Recon.md|_local/pbp_transcripts/PbP15 - Debrief and Safety.md,6
player_crowe,Crowe,168649|168652|168657|168663|168680|168697|168699|168701|168703|168705|168707|168709|168720|168742|168745|168747|168749|168753|168755|168757|168760|168838|168842|168845|168854|168856|168858|168860|168862|168863|168870|168872|168873|168875|168877|168879|168881|168886|168888|168890|168892|168894|168896|168898|168900|168901|168905|168907|168909|168911|168913|168916|168918|168920|168921|168923|168925|168927|168928|168930|168935|168937|168939|168941|168943|168945|168947|168948|168950|168951|168953|168960|168962|168964|168966|168968|168970|168972|168974|168981|168986|168988|168990|168992|168994|168995|169003|169005|169015|169016|169023|169025|169027|169030|169032|169034|169036|169038|169040|169042|169044|169046|169048|169050|169052|169054|169056|169058|169060|169062|169064|169066|169068|169070|169072|169074|169076|169080|169081|169083|169085|169087|169089|169091|169093|169095|169097|169103|169105|169106|169109|169118|169120|169122|169127|169129|169132|169135|169137|169138|169140|169142|169143|169147|169148|169150|169152|169153|169156|169158|169162|169164|169165|169167|169168|169171|169173|169177|169179|169182|169183|169186|169188|169191|169196|169200|169203|169205|169207|169211|169213|169218|169225|169227|169233|169235|169237|169239|169246|169248|169250|169252|169254|169259|169261|169262|169264|169266|169268|169269|169270|169271|169273,193,_local/pbp_transcripts/PbP10 - The Second Camp.md|_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md|_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md|_local/pbp_transcripts/PbP13 - The Town Square Incident.md|_local/pbp_transcripts/PbP14 - Recon.md|_local/pbp_transcripts/PbP15 - Debrief and Safety.md,6
player_bysickle,Bysickle,168647|168675|168681|168683|168689|168695|168712|168716|168718|168721|168740|168761|168762|168766|168864|168883|168903|168931|168933|168944|168946|168955|168978|168984|168997|169001|169010|169012|169017|169078|169082|169084|169086|169088|169090|169092|169094|169096|169116|169121|169125|169146|169161|169180|169181|169190|169209|169215|169223|169231|169238|169241|169243|169245|169253|169256|169275,57,_local/pbp_transcripts/PbP10 - The Second Camp.md|_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md|_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md|_local/pbp_transcripts/PbP13 - The Town Square Incident.md|_local/pbp_transcripts/PbP14 - Recon.md|_local/pbp_transcripts/PbP15 - Debrief and Safety.md,6
player_kalina,Kalina,168653|168659|168661|168722|168724|168726|168728|168730|168732|168734|168736|168738|168763|168844|168867|168957|168975|168977|168982|168996|168999|169007|169009|169018|169022|169098|169100|169110|169112|169114|169124|169130|169141|169144|169149|169155|169157|169159|169175|169192|169194|169198,42,_local/pbp_transcripts/PbP10 - The Second Camp.md|_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md|_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md|_local/pbp_transcripts/PbP13 - The Town Square Incident.md|_local/pbp_transcripts/PbP14 - Recon.md|_local/pbp_transcripts/PbP15 - Debrief and Safety.md,6
player_venric,Venric,168646|168651|168666|168668|168670|168672|168674|168679|168685|168690|168691|168693|168711|168714|168743|168752|168758|168765|168768|168841|168906|168908|168910|168912|168919|168922|168924|168926,28,_local/pbp_transcripts/PbP10 - The Second Camp.md|_local/pbp_transcripts/PbP11 - Lia and the Tolanites.md|_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md,3
player_lia,Lia Whitewolf,168846|168848|168850|168852|168976|169133|169222|169257,8,_local/pbp_transcripts/PbP12 - Meeting in the Vestry.md|_local/pbp_transcripts/PbP15 - Debrief and Safety.md,2
